City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Weather Description
69,Zyryanka,RU,65.75,150.85,-34.91,97,100,2.24,overcast clouds
70,Narsaq,GL,60.9167,-46.05,-3.78,65,100,11.95,overcast clouds
71,Dudinka,RU,69.4058,86.1778,-33.14,100,17,5.14,few clouds
72,Cayenne,GF,4.9333,-52.3333,73.44,94,100,2.3,overcast clouds
73,Longyearbyen,SJ,78.2186,15.6401,31.84,59,75,8.05,light snow
74,Carnarvon,AU,-24.8667,113.6333,83.48,71,12,21.7,few clouds
75,Jackson,US,42.4165,-122.8345,39.04,95,0,0.0,mist
76,Dikson,RU,73.5069,80.5464,-28.34,100,89,5.7,overcast clouds
77,Sainte-Maxime,FR,43.3,6.6333,50.18,84,12,3.31,few clouds
78,Vryburg,ZA,-26.9566,24.7284,80.71,39,6,11.36,clear sky
79,Cariati,IT,39.4922,16.9594,53.37,76,7,5.86,clear sky
80,Clyde River,CA,70.4692,-68.5914,-18.17,69,100,12.66,light snow
81,Butaritari,KI,3.0707,172.7902,81.05,77,94,12.1,overcast clouds
82,Sambava,MG,-14.2667,50.1667,81.91,67,44,7.43,scattered clouds
83,Kodiak,US,57.79,-152.4072,35.11,93,100,9.22,moderate rain
84,Oksbol,DK,55.6268,8.2876,46.51,97,100,26.46,light rain
85,Cartagena,CO,10.3997,-75.5144,76.62,88,20,4.61,few clouds
86,Lloydminster,CA,53.2835,-110.0016,1.62,85,0,3.44,mist
87,Biritiba-Mirim,BR,-23.5698,-46.0407,71.38,94,100,3.78,overcast clouds
88,Jejuri,IN,18.2833,74.1667,77.74,39,0,5.46,clear sky
89,Tarauaca,BR,-8.1614,-70.7656,71.01,99,100,2.84,overcast clouds
90,Tura,IN,25.5198,90.2201,73.81,40,0,3.62,clear sky
91,Springbok,ZA,-29.6643,17.8865,63.57,61,24,5.88,few clouds
92,Port Hardy,CA,50.6996,-127.4199,41.58,88,100,7.31,light rain
93,Porumbacu De Jos,RO,45.75,24.45,43.34,97,100,1.81,overcast clouds
94,Severnyy,RU,50.677,36.5532,37.44,70,75,17.9,broken clouds
95,Hermanus,ZA,-34.4187,19.2345,63.81,76,89,10.33,light rain
96,Nikolskoye,RU,59.7035,30.7861,26.49,98,100,1.97,light snow
97,Nizhniy Kuranakh,RU,58.8353,125.4869,1.6,94,98,3.58,overcast clouds
98,Ushtobe,KZ,45.2514,77.9838,30.88,80,100,20.65,overcast clouds
99,Ketchikan,US,55.3422,-131.6461,45.07,65,100,4.61,overcast clouds
100,Upernavik,GL,72.7868,-56.1549,-18.65,76,10,6.85,clear sky
101,Sorkjosen,NO,69.8,20.9333,17.6,62,0,14.97,clear sky
102,Henties Bay,NA,-22.116,14.2845,64.89,82,45,8.5,scattered clouds
103,Belyy Yar,RU,53.6039,91.3903,-2.31,84,98,2.24,mist
104,Karratha,AU,-20.7377,116.8463,88.48,59,100,24.14,overcast clouds
105,Kirkenes,NO,69.7271,30.0458,27.55,93,75,14.97,broken clouds
106,Seoul,KR,37.5683,126.9778,38.59,40,1,3.83,clear sky
107,Grindavik,IS,63.8424,-22.4338,27.07,68,0,10.36,clear sky
108,Antofagasta,CL,-23.65,-70.4,63.68,87,16,1.34,few clouds
109,Hithadhoo,MV,-0.6,73.0833,80.55,74,19,12.35,few clouds
110,Shestakovo,RU,56.4915,103.96,5.18,95,100,2.64,overcast clouds
111,Coos Bay,US,43.3665,-124.2179,46.92,93,75,5.75,broken clouds
112,Marystown,CA,47.1666,-55.1483,33.39,86,100,10.25,overcast clouds
113,Mumford,GH,5.2618,-0.759,74.89,72,91,5.82,overcast clouds
114,Lalmohan,BD,22.3384,90.7419,72.45,45,0,8.28,clear sky
115,Klaksvik,FO,62.2266,-6.589,40.12,86,90,3.87,overcast clouds
116,Shimoda,JP,34.6667,138.95,46.11,56,0,26.96,clear sky
117,Iqaluit,CA,63.7506,-68.5145,0.7,84,100,0.69,overcast clouds
118,Adrar,MR,20.5022,-10.0711,57.18,20,0,10.27,clear sky
119,Lorengau,PG,-2.0226,147.2712,80.35,82,100,7.63,overcast clouds
120,Torbay,CA,47.6666,-52.7314,29.57,83,8,3.0,clear sky
121,Prince Rupert,CA,54.3161,-130.3201,44.69,65,75,10.36,light rain
122,Thompson,CA,55.7435,-97.8558,-4.86,100,87,4.18,overcast clouds
123,Xingtai,CN,37.0631,114.4942,43.61,30,76,5.17,broken clouds
124,Bardiyah,LY,31.7561,25.0865,59.47,65,20,7.25,few clouds
125,Nouadhibou,MR,20.931,-17.0347,67.75,48,4,13.38,clear sky
126,Sembabule,UG,-0.0772,31.4567,72.48,68,1,0.69,clear sky
127,Bengkulu,ID,-3.8004,102.2655,82.78,69,100,9.44,overcast clouds
128,Sinnamary,GF,5.3833,-52.95,75.47,91,100,9.37,overcast clouds
129,Mukhen,RU,48.1,136.1,2.44,82,70,9.04,broken clouds
130,Bethel,US,41.3712,-73.414,55.04,89,100,1.99,overcast clouds
131,Cidreira,BR,-30.1811,-50.2056,68.68,86,100,1.77,overcast clouds
132,Ukiah,US,39.1502,-123.2078,50.14,91,75,0.0,broken clouds
133,Korla,CN,41.7597,86.1469,28.22,36,20,9.1,few clouds
134,Goshen,US,41.5823,-85.8344,57.09,90,100,11.03,overcast clouds
135,Westport,US,41.1415,-73.3579,55.6,92,100,1.01,mist
136,Pamyat Parizhskoy Kommuny,RU,56.1048,44.4952,24.75,95,100,8.14,overcast clouds
137,Bilecik,TR,40.0,30.1667,23.68,35,70,1.88,broken clouds
138,Aklavik,CA,68.2191,-135.0107,-5.62,100,92,1.45,overcast clouds
139,Lisala,CD,2.15,21.5167,78.46,63,79,2.15,broken clouds
140,Kaitangata,NZ,-46.2817,169.8464,60.66,87,100,5.03,overcast clouds
141,Vila Velha,BR,-20.3297,-40.2925,75.15,90,20,13.8,few clouds
142,Arona,ES,28.0996,-16.681,58.12,70,0,14.97,clear sky
143,Ikom,NG,5.9667,8.7063,73.89,45,54,0.6,broken clouds
144,Price,US,39.5994,-110.8107,24.06,80,100,3.44,overcast clouds
145,Vanimo,PG,-2.6741,141.3028,78.94,84,100,1.43,overcast clouds
146,Faya,SA,18.3851,42.4509,61.32,34,7,6.11,clear sky
147,Iralaya,HN,15.0,-83.2333,76.68,84,7,9.19,light rain
148,Zastron,ZA,-30.3023,27.084,73.13,41,49,10.42,scattered clouds
149,Hobart,AU,-42.8794,147.3294,65.23,62,20,17.27,few clouds
150,Tezu,IN,27.9167,96.1667,75.96,23,0,3.83,clear sky
151,Padang,ID,-0.9492,100.3543,86.05,70,96,7.07,overcast clouds
152,Port Alfred,ZA,-33.5906,26.891,74.17,76,100,7.0,light rain
153,Veinticinco De Diciembre,MX,25.2602,-104.0519,53.76,33,0,2.19,clear sky
154,Airai,TL,-8.9266,125.4092,69.48,71,68,6.33,broken clouds
155,Terny,UA,50.9833,33.9833,37.45,73,95,17.22,overcast clouds
156,Georgetown,MY,5.4112,100.3354,89.53,62,20,10.36,few clouds
157,Ugoofaaru,MV,5.6667,73.0,80.06,66,19,11.16,few clouds
158,Saint-Pierre,RE,-21.3393,55.4781,85.68,62,82,6.91,light rain
159,Hermitage,US,41.2334,-80.4487,56.61,96,20,10.36,few clouds
160,Phan Thiet,VN,10.9333,108.1,82.89,65,99,11.88,overcast clouds
161,Middlebury,US,44.0153,-73.1673,38.23,98,100,3.44,light snow
162,Saint George,US,37.1041,-113.5841,36.95,91,100,3.44,overcast clouds
163,Yulara,AU,-25.2406,130.9889,73.2,46,100,20.27,overcast clouds
164,Rosarito,MX,32.3333,-117.0333,59.97,81,100,9.78,overcast clouds
165,Kaeo,NZ,-35.1,173.7833,68.32,97,100,17.98,overcast clouds
166,Guerrero Negro,MX,27.9769,-114.0611,58.69,79,96,9.44,overcast clouds
167,Rayong,TH,12.8333,101.4333,91.62,39,27,9.33,scattered clouds
