City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
543,Sorong,ID,84.4,scattered clouds,-0.8833,131.25,Hotel Membramo Marina
544,Puerto Carreno,CO,75.22,overcast clouds,6.189,-67.4859,Carreño Plaza
557,Namatanai,PG,79.7,moderate rain,-3.6667,152.4333,Namatanai Hotel
563,Kampot,KH,87.85,overcast clouds,10.6167,104.1833,Sambor Sambat Guesthouse
569,Ca Mau,VN,86.81,overcast clouds,9.1769,105.15,Khách sạn Song Ngọc
570,Mana,GF,75.47,light rain,5.6592,-53.7767,Le Samana
571,Isangel,VU,81.0,overcast clouds,-19.55,169.2667,Tanna Lodge
581,Bubaque,GW,77.05,scattered clouds,11.2833,-15.8333,Chez Julio
583,Maroantsetra,MG,80.83,scattered clouds,-15.4333,49.7333,Coco Beach
589,Bowen,AU,82.2,overcast clouds,-20.0167,148.2333,Whitsunday Sands Resort
593,Ilhabela,BR,75.76,overcast clouds,-23.7781,-45.3581,Vila Kebaya
613,Odweyne,SO,75.4,clear sky,9.4092,45.064,Almadina Hotel
621,Matara,LK,86.02,overcast clouds,5.9485,80.5353,Villa Palm Breeze
637,Grand Gaube,MU,86.4,clear sky,-20.0064,57.6608,Coco Villa
641,Luanda,AO,78.8,moderate rain,-8.8368,13.2343,Hotel Forum
646,Touros,BR,77.29,scattered clouds,-5.1989,-35.4608,Pousada Atlântico
648,Waingapu,ID,83.26,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
657,Sibolga,ID,84.15,overcast clouds,1.7427,98.7792,Hotel Prima Indah
660,Nieuw Amsterdam,SR,76.01,overcast clouds,5.8833,-55.0833,Leonsberg Lodge
690,Port Shepstone,ZA,77.45,clear sky,-30.7414,30.455,The Spot Backpackers'
700,Puerto Colombia,CO,77.09,clear sky,10.9878,-74.9547,Hotel Puerto Colombia
702,Isiro,CD,85.03,scattered clouds,2.7739,27.616,Hôtel Magbetu
707,Mwene-Ditu,CD,77.0,scattered clouds,-7.0,23.45,Hôtel KAMAS
712,Bodden Town,KY,77.94,clear sky,19.2833,-81.25,Turtle Nest Inn
