City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Bluff,NZ,2022-12-21 04:37:38,-46.6,168.3333,56.75,71,95,20.42
59,Souillac,MU,2022-12-21 04:37:38,-20.5167,57.5167,80.98,65,40,6.91
60,Mount Gambier,AU,2022-12-21 04:36:57,-37.8333,140.7667,78.46,38,100,13.96
61,Khatanga,RU,2022-12-21 04:37:39,71.9667,102.5,-23.87,79,1,17.18
62,Flinders,AU,2022-12-21 04:37:39,-34.5833,150.8552,71.38,59,30,8.88
63,Nortelandia,BR,2022-12-21 04:37:40,-14.4547,-56.8028,71.74,97,84,2.73
64,Saskylakh,RU,2022-12-21 04:35:43,71.9167,114.0833,-29.52,94,81,6.49
65,Makakilo City,US,2022-12-21 04:34:53,21.3469,-158.0858,73.72,70,40,13.8
66,Bredasdorp,ZA,2022-12-21 04:35:39,-34.5322,20.0403,62.89,59,15,11.77
67,Puerto Tejada,CO,2022-12-21 04:37:41,3.2311,-76.4167,69.75,87,94,0.98
68,New Norfolk,AU,2022-12-21 04:37:42,-42.7826,147.0587,70.92,34,93,3.0
69,Port Elizabeth,ZA,2022-12-21 04:37:42,-33.918,25.5701,62.31,92,75,2.3
70,Jurm,AF,2022-12-21 04:37:43,36.8648,70.8342,34.77,54,17,3.67
71,Puerto Ayora,EC,2022-12-21 04:36:29,-0.7393,-90.3518,71.55,96,53,4.99
72,Chokurdakh,RU,2022-12-21 04:35:29,70.6333,147.9167,-9.44,99,72,3.15
73,Puri,IN,2022-12-21 04:35:50,19.8,85.85,73.92,41,70,6.08
74,Hit,IQ,2022-12-21 04:37:44,33.6416,42.8251,54.61,49,2,5.35
75,Palu,ID,2022-12-21 04:37:45,-0.8917,119.8707,89.83,54,100,5.97
76,Grindavik,IS,2022-12-21 04:37:45,63.8424,-22.4338,30.67,69,75,27.63
77,Clifton Springs,AU,2022-12-21 04:33:02,-38.15,144.5667,86.77,50,100,12.66
78,Tura,IN,2022-12-21 04:33:14,25.5198,90.2201,73.65,50,51,2.51
79,Sobolevo,RU,2022-12-21 04:37:47,54.4299,31.8996,32.65,99,100,7.0
80,Terrace,CA,2022-12-21 04:37:47,54.5163,-128.6035,-2.29,50,0,25.32
81,Aklavik,CA,2022-12-21 04:37:48,68.2191,-135.0107,-4.43,90,99,12.95
82,Cidreira,BR,2022-12-21 04:37:48,-30.1811,-50.2056,69.84,83,16,13.35
83,Qaanaaq,GL,2022-12-21 04:37:29,77.484,-69.3632,-17.72,72,38,5.03
84,Henties Bay,NA,2022-12-21 04:37:49,-22.116,14.2845,60.01,93,6,1.57
85,Avarua,CK,2022-12-21 04:37:49,-21.2078,-159.775,75.25,88,40,1.14
86,Mackay,AU,2022-12-21 04:37:50,-21.15,149.2,84.69,57,50,19.8
87,Nikolskoye,RU,2022-12-21 04:37:51,59.7035,30.7861,22.91,97,100,8.48
88,Luwero,UG,2022-12-21 04:37:52,0.8492,32.4731,68.4,80,90,2.48
89,Eskisehir,TR,2022-12-21 04:37:52,39.7767,30.5206,21.11,100,0,0.0
90,Gimli,CA,2022-12-21 04:37:53,50.6336,-96.9907,-12.98,77,85,4.61
91,Kapaa,US,2022-12-21 04:35:15,22.0752,-159.319,75.52,67,0,13.8
92,Hobart,AU,2022-12-21 04:35:21,-42.8794,147.3294,71.28,60,75,12.66
93,Coihaique,CL,2022-12-21 04:38:54,-45.5752,-72.0662,57.15,77,0,3.44
94,Tuktoyaktuk,CA,2022-12-21 04:38:55,69.4541,-133.0374,-16.6,83,75,12.66
95,Khuzhir,RU,2022-12-21 04:38:55,53.1939,107.3397,12.87,58,52,4.5
96,Sawang Daen Din,TH,2022-12-21 04:38:56,17.4753,103.4575,83.17,83,94,6.69
97,Hermanus,ZA,2022-12-21 04:38:56,-34.4187,19.2345,61.81,66,7,16.08
